geography,age_level,outcome_name,outcome_type,source,url,geo_strata,age_strata,race_strata,race_level,additional_strata1,additional_strata_level,sex_strata,sex_level,Outcome_value1,outcome_label1
Alabama,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,11.8,Prevalence
Alabama,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,23.4,Prevalence
Alabama,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,47.0,Prevalence
Alabama,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,56.8,Prevalence
Alabama,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,48.0,Prevalence
Alabama,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,1.2,Prevalence
Alabama,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,45.9,Prevalence
Alabama,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
Alaska,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,5.4,Prevalence
Alaska,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,15.1,Prevalence
Alaska,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,31.5,Prevalence
Alaska,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,44.7,Prevalence
Alaska,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,37.7,Prevalence
Alaska,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,,Prevalence
Alaska,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,32.2,Prevalence
Alaska,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
Arizona,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,4.8,Prevalence
Arizona,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,12.6,Prevalence
Arizona,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,34.2,Prevalence
Arizona,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,43.6,Prevalence
Arizona,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,37.0,Prevalence
Arizona,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,0.626,Prevalence
Arizona,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,33.4,Prevalence
Arizona,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
Arkansas,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,10.3,Prevalence
Arkansas,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,24.2,Prevalence
Arkansas,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,49.9,Prevalence
Arkansas,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,59.4,Prevalence
Arkansas,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,50.1,Prevalence
Arkansas,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,1.3,Prevalence
Arkansas,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,41.7,Prevalence
Arkansas,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
Armed Forces Africa,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,,Prevalence
Armed Forces Africa,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,,Prevalence
Armed Forces Africa,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,29.9,Prevalence
Armed Forces Africa,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,36.3,Prevalence
Armed Forces Africa,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,37.7,Prevalence
Armed Forces Africa,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,,Prevalence
Armed Forces Africa,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,28.9,Prevalence
Armed Forces Africa,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
Armed Forces Pacific,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,,Prevalence
Armed Forces Pacific,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,,Prevalence
Armed Forces Pacific,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,28.4,Prevalence
Armed Forces Pacific,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,41.5,Prevalence
Armed Forces Pacific,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,30.9,Prevalence
Armed Forces Pacific,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,,Prevalence
Armed Forces Pacific,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,29.5,Prevalence
Armed Forces Pacific,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
California,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,7.5,Prevalence
California,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,16.4,Prevalence
California,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,30.8,Prevalence
California,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,38.2,Prevalence
California,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,33.0,Prevalence
California,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,0.918,Prevalence
California,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,28.9,Prevalence
California,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,41.2,Prevalence
Colorado,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,4.9,Prevalence
Colorado,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,13.9,Prevalence
Colorado,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,31.4,Prevalence
Colorado,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,40.9,Prevalence
Colorado,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,36.4,Prevalence
Colorado,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,0.598,Prevalence
Colorado,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,28.7,Prevalence
Colorado,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
Connecticut,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,8.5,Prevalence
Connecticut,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,18.3,Prevalence
Connecticut,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,38.1,Prevalence
Connecticut,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,51.2,Prevalence
Connecticut,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,48.2,Prevalence
Connecticut,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,1.3,Prevalence
Connecticut,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,39.0,Prevalence
Connecticut,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,60.0,Prevalence
Delaware,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,10.7,Prevalence
Delaware,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,24.5,Prevalence
Delaware,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,47.8,Prevalence
Delaware,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,58.3,Prevalence
Delaware,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,50.2,Prevalence
Delaware,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,1.3,Prevalence
Delaware,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,39.4,Prevalence
Delaware,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
District of Columbia,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,6.2,Prevalence
District of Columbia,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,10.4,Prevalence
District of Columbia,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,25.7,Prevalence
District of Columbia,40-64 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,38.9,Prevalence
District of Columbia,65+ Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,34.7,Prevalence
District of Columbia,<10 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,1.1,Prevalence
District of Columbia,Total,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,none,none,,none,,none,,31.3,Prevalence
District of Columbia,,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,,none,,none,,none,,,Prevalence
Florida,10-14 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,8.4,Prevalence
Florida,15-19 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,18.7,Prevalence
Florida,20-39 Years,obesity,prevalence,Epic Cosmos,https://www.epicresearch.org/,state,age_scheme_2,none,,none,,none,,40.2,Prevalence
