"","geography","N_cases_epic","date","Level","N_cases_epic_3m","max_grp","scale_age_epic"
"1","Alabama",NA,2023-07-01,"1-4 Years",NA,82,NA
"2","Alabama",NA,2023-07-08,"1-4 Years",NA,82,NA
"3","Alabama",NA,2023-07-15,"1-4 Years",NA,82,NA
"4","Alabama",NA,2023-07-22,"1-4 Years",NA,82,NA
"5","Alabama",NA,2023-07-29,"1-4 Years",NA,82,NA
"6","Alabama",NA,2023-08-05,"1-4 Years",NA,82,NA
"7","Alabama",NA,2023-08-12,"1-4 Years",NA,82,NA
"8","Alabama",NA,2023-08-19,"1-4 Years",NA,82,NA
"9","Alabama",NA,2023-08-26,"1-4 Years",NA,82,NA
"10","Alabama",NA,2023-09-02,"1-4 Years",NA,82,NA
"11","Alabama",NA,2023-09-09,"1-4 Years",NA,82,NA
"12","Alabama",11,2023-09-16,"1-4 Years",NA,82,NA
"13","Alabama",NA,2023-09-23,"1-4 Years",NA,82,NA
"14","Alabama",NA,2023-09-30,"1-4 Years",NA,82,NA
"15","Alabama",24,2023-10-07,"1-4 Years",NA,82,NA
"16","Alabama",29,2023-10-14,"1-4 Years",NA,82,NA
"17","Alabama",48,2023-10-21,"1-4 Years",33.6666666666667,82,41.0569105691057
"18","Alabama",67,2023-10-28,"1-4 Years",48,82,58.5365853658537
"19","Alabama",53,2023-11-04,"1-4 Years",56,82,68.2926829268293
"20","Alabama",58,2023-11-11,"1-4 Years",59.3333333333333,82,72.3577235772358
"21","Alabama",72,2023-11-18,"1-4 Years",61,82,74.390243902439
"22","Alabama",49,2023-11-25,"1-4 Years",59.6666666666667,82,72.7642276422764
"23","Alabama",40,2023-12-02,"1-4 Years",53.6666666666667,82,65.4471544715447
"24","Alabama",48,2023-12-09,"1-4 Years",45.6666666666667,82,55.6910569105691
"25","Alabama",30,2023-12-16,"1-4 Years",39.3333333333333,82,47.9674796747968
"26","Alabama",19,2023-12-23,"1-4 Years",32.3333333333333,82,39.4308943089431
"27","Alabama",12,2023-12-30,"1-4 Years",20.3333333333333,82,24.7967479674797
"28","Alabama",12,2024-01-06,"1-4 Years",14.3333333333333,82,17.479674796748
"29","Alabama",NA,2024-01-13,"1-4 Years",NA,82,NA
"30","Alabama",NA,2024-01-20,"1-4 Years",NA,82,NA
"31","Alabama",NA,2024-01-27,"1-4 Years",NA,82,NA
"32","Alabama",NA,2024-02-03,"1-4 Years",NA,82,NA
"33","Alabama",NA,2024-02-10,"1-4 Years",NA,82,NA
"34","Alabama",NA,2024-02-17,"1-4 Years",NA,82,NA
"35","Alabama",NA,2024-02-24,"1-4 Years",NA,82,NA
"36","Alabama",NA,2024-03-02,"1-4 Years",NA,82,NA
"37","Alabama",NA,2024-03-09,"1-4 Years",NA,82,NA
"38","Alabama",NA,2024-03-16,"1-4 Years",NA,82,NA
"39","Alabama",NA,2024-03-23,"1-4 Years",NA,82,NA
"40","Alabama",NA,2024-03-30,"1-4 Years",NA,82,NA
"41","Alabama",NA,2024-04-06,"1-4 Years",NA,82,NA
"42","Alabama",NA,2024-04-13,"1-4 Years",NA,82,NA
"43","Alabama",NA,2024-04-20,"1-4 Years",NA,82,NA
"44","Alabama",NA,2024-04-27,"1-4 Years",NA,82,NA
"45","Alabama",NA,2024-05-04,"1-4 Years",NA,82,NA
"46","Alabama",NA,2024-05-11,"1-4 Years",NA,82,NA
"47","Alabama",NA,2024-05-18,"1-4 Years",NA,82,NA
"48","Alabama",NA,2024-05-25,"1-4 Years",NA,82,NA
"49","Alabama",NA,2024-06-01,"1-4 Years",NA,82,NA
"50","Alabama",NA,2024-06-08,"1-4 Years",NA,82,NA
"51","Alabama",NA,2024-06-15,"1-4 Years",NA,82,NA
"52","Alabama",NA,2024-06-22,"1-4 Years",NA,82,NA
"53","Alabama",NA,2024-06-29,"1-4 Years",NA,82,NA
"54","Alabama",NA,2024-07-06,"1-4 Years",NA,82,NA
"55","Alabama",NA,2024-07-13,"1-4 Years",NA,82,NA
"56","Alabama",NA,2024-07-20,"1-4 Years",NA,82,NA
"57","Alabama",NA,2024-07-27,"1-4 Years",NA,82,NA
"58","Alabama",NA,2024-08-03,"1-4 Years",NA,82,NA
"59","Alabama",NA,2024-08-10,"1-4 Years",NA,82,NA
"60","Alabama",NA,2024-08-17,"1-4 Years",NA,82,NA
"61","Alabama",NA,2024-08-24,"1-4 Years",NA,82,NA
"62","Alabama",NA,2024-08-31,"1-4 Years",NA,82,NA
"63","Alabama",NA,2024-09-07,"1-4 Years",NA,82,NA
"64","Alabama",NA,2024-09-14,"1-4 Years",NA,82,NA
"65","Alabama",NA,2024-09-21,"1-4 Years",NA,82,NA
"66","Alabama",NA,2024-09-28,"1-4 Years",NA,82,NA
"67","Alabama",NA,2024-10-05,"1-4 Years",NA,82,NA
"68","Alabama",NA,2024-10-12,"1-4 Years",NA,82,NA
"69","Alabama",NA,2024-10-19,"1-4 Years",NA,82,NA
"70","Alabama",16,2024-10-26,"1-4 Years",NA,82,NA
"71","Alabama",19,2024-11-02,"1-4 Years",NA,82,NA
"72","Alabama",29,2024-11-09,"1-4 Years",21.3333333333333,82,26.0162601626016
"73","Alabama",47,2024-11-16,"1-4 Years",31.6666666666667,82,38.6178861788618
"74","Alabama",67,2024-11-23,"1-4 Years",47.6666666666667,82,58.130081300813
"75","Alabama",45,2024-11-30,"1-4 Years",53,82,64.6341463414634
"76","Alabama",65,2024-12-07,"1-4 Years",59,82,71.9512195121951
"77","Alabama",76,2024-12-14,"1-4 Years",62,82,75.609756097561
"78","Alabama",94,2024-12-21,"1-4 Years",78.3333333333333,82,95.5284552845528
"79","Alabama",76,2024-12-28,"1-4 Years",82,82,100
"80","Alabama",57,2025-01-04,"1-4 Years",75.6666666666667,82,92.2764227642276
"81","Alabama",26,2025-01-11,"1-4 Years",53,82,64.6341463414634
"82","Alabama",21,2025-01-18,"1-4 Years",34.6666666666667,82,42.2764227642276
"83","Alabama",NA,2025-01-25,"1-4 Years",NA,82,NA
"84","Alabama",NA,2023-07-01,"18-49 Years",NA,22,NA
"85","Alabama",NA,2023-07-08,"18-49 Years",NA,22,NA
"86","Alabama",NA,2023-07-15,"18-49 Years",NA,22,NA
