"","geography","Level","date","N_ED_epic","N_RSV_ED_epic","N_flu_ED_epic","N_covid_ED_epic","pct_RSV_ED_epic","pct_flu_ED_epic","pct_covid_ED_epic","ED_epic_scale_RSV","ED_epic_scale_flu","ED_epic_scale_covid"
"1","Alabama","1-4 Years",2023-07-01,137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alabama","1-4 Years",2023-07-08,148,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alabama","1-4 Years",2023-07-15,143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alabama","1-4 Years",2023-07-22,113,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alabama","1-4 Years",2023-07-29,134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alabama","1-4 Years",2023-08-05,126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alabama","1-4 Years",2023-08-12,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alabama","1-4 Years",2023-08-19,153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alabama","1-4 Years",2023-08-26,167,NA,NA,12,NA,NA,NA,NA,NA,NA
"10","Alabama","1-4 Years",2023-09-02,158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Alabama","1-4 Years",2023-09-09,145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Alabama","1-4 Years",2023-09-16,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Alabama","1-4 Years",2023-09-23,175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Alabama","1-4 Years",2023-09-30,158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alabama","1-4 Years",2023-10-07,180,11,NA,NA,NA,NA,NA,NA,NA,NA
"16","Alabama","1-4 Years",2023-10-14,128,11,NA,NA,NA,NA,NA,NA,NA,NA
"17","Alabama","1-4 Years",2023-10-21,171,13,NA,NA,7.43573343079922,NA,NA,40.3098877480134,NA,NA
"18","Alabama","1-4 Years",2023-10-28,193,24,NA,NA,9.54377411396944,NA,NA,51.7377965209216,NA,NA
