"","state","date","hosp_rate","Level","hosp_rate_3m","scale_age"
"1","California",2023-07-01,5.4,"<1 Years",NA,NA
"2","California",2023-07-08,0,"<1 Years",NA,NA
"3","California",2023-07-15,0,"<1 Years",1.8,3.09633027522936
"4","California",2023-07-22,0,"<1 Years",0,0
"5","California",2023-07-29,2.7,"<1 Years",0.9,1.54816513761468
"6","California",2023-08-05,2.7,"<1 Years",1.8,3.09633027522936
"7","California",2023-08-12,2.7,"<1 Years",2.7,4.64449541284404
"8","California",2023-08-19,0,"<1 Years",1.8,3.09633027522936
"9","California",2023-08-26,2.7,"<1 Years",1.8,3.09633027522936
"10","California",2023-09-02,2.7,"<1 Years",1.8,3.09633027522936
"11","California",2023-09-09,10.7,"<1 Years",5.36666666666667,9.23165137614679
"12","California",2023-09-16,5.4,"<1 Years",6.26666666666667,10.7798165137615
"13","California",2023-09-23,8,"<1 Years",8.03333333333333,13.8188073394495
"14","California",2023-09-30,10.7,"<1 Years",8.03333333333333,13.8188073394495
"15","California",2023-07-01,0.7,"1-4 Years",NA,NA
"16","California",2023-07-08,0,"1-4 Years",NA,NA
"17","California",2023-07-15,0,"1-4 Years",0.233333333333333,2.08955223880597
"18","California",2023-07-22,0.7,"1-4 Years",0.233333333333333,2.08955223880597
"19","California",2023-07-29,0.7,"1-4 Years",0.466666666666667,4.17910447761194
"20","California",2023-08-05,0,"1-4 Years",0.466666666666667,4.17910447761194
"21","California",2023-08-12,0,"1-4 Years",0.233333333333333,2.08955223880597
"22","California",2023-08-19,0,"1-4 Years",0,0
"23","California",2023-08-26,0.7,"1-4 Years",0.233333333333333,2.08955223880597
"24","California",2023-09-02,0,"1-4 Years",0.233333333333333,2.08955223880597
"25","California",2023-09-09,0.7,"1-4 Years",0.466666666666667,4.17910447761194
"26","California",2023-09-16,1.4,"1-4 Years",0.7,6.26865671641791
"27","California",2023-09-23,2.1,"1-4 Years",1.4,12.5373134328358
"28","California",2023-09-30,4.3,"1-4 Years",2.6,23.2835820895522
"29","California",2023-07-01,0,"18-49 Years",NA,NA
"30","California",2023-07-08,0,"18-49 Years",NA,NA
"31","California",2023-07-15,0,"18-49 Years",0,0
"32","California",2023-07-22,0.1,"18-49 Years",0.0333333333333333,5.26315789473684
"33","California",2023-07-29,0,"18-49 Years",0.0333333333333333,5.26315789473684
"34","California",2023-08-05,0,"18-49 Years",0.0333333333333333,5.26315789473684
"35","California",2023-08-12,0,"18-49 Years",0,0
"36","California",2023-08-19,0,"18-49 Years",0,0
"37","California",2023-08-26,0,"18-49 Years",0,0
"38","California",2023-09-02,0,"18-49 Years",0,0
"39","California",2023-09-09,0,"18-49 Years",0,0
"40","California",2023-09-16,0.1,"18-49 Years",0.0333333333333333,5.26315789473684
"41","California",2023-09-23,0,"18-49 Years",0.0333333333333333,5.26315789473684
"42","California",2023-09-30,0,"18-49 Years",0.0333333333333333,5.26315789473684
"43","California",2023-07-01,0,"5-17 Years",NA,NA
"44","California",2023-07-08,0.2,"5-17 Years",NA,NA
"45","California",2023-07-15,0,"5-17 Years",0.0666666666666667,5.55555555555556
"46","California",2023-07-22,0,"5-17 Years",0.0666666666666667,5.55555555555556
"47","California",2023-07-29,0,"5-17 Years",0,0
"48","California",2023-08-05,0,"5-17 Years",0,0
"49","California",2023-08-12,0,"5-17 Years",0,0
"50","California",2023-08-19,0,"5-17 Years",0,0
"51","California",2023-08-26,0.4,"5-17 Years",0.133333333333333,11.1111111111111
"52","California",2023-09-02,0,"5-17 Years",0.133333333333333,11.1111111111111
"53","California",2023-09-09,0.2,"5-17 Years",0.2,16.6666666666667
"54","California",2023-09-16,0.2,"5-17 Years",0.133333333333333,11.1111111111111
"55","California",2023-09-23,0,"5-17 Years",0.133333333333333,11.1111111111111
"56","California",2023-09-30,0.2,"5-17 Years",0.133333333333333,11.1111111111111
"57","California",2023-07-01,0,"50-64 Years",NA,NA
"58","California",2023-07-08,0,"50-64 Years",NA,NA
"59","California",2023-07-15,0,"50-64 Years",0,0
"60","California",2023-07-22,0,"50-64 Years",0,0
"61","California",2023-07-29,0,"50-64 Years",0,0
"62","California",2023-08-05,0,"50-64 Years",0,0
"63","California",2023-08-12,0,"50-64 Years",0,0
"64","California",2023-08-19,0,"50-64 Years",0,0
"65","California",2023-08-26,0,"50-64 Years",0,0
"66","California",2023-09-02,0,"50-64 Years",0,0
"67","California",2023-09-09,0,"50-64 Years",0,0
"68","California",2023-09-16,0.1,"50-64 Years",0.0333333333333333,1.63934426229508
"69","California",2023-09-23,0,"50-64 Years",0.0333333333333333,1.63934426229508
"70","California",2023-09-30,0,"50-64 Years",0.0333333333333333,1.63934426229508
"71","California",2023-07-01,0,"65-74 Years",NA,NA
"72","California",2023-07-08,0,"65-74 Years",NA,NA
"73","California",2023-07-15,0,"65-74 Years",0,0
"74","California",2023-07-22,0,"65-74 Years",0,0
"75","California",2023-07-29,0,"65-74 Years",0,0
"76","California",2023-08-05,0,"65-74 Years",0,0
"77","California",2023-08-12,0.3,"65-74 Years",0.1,2.22222222222222
"78","California",2023-08-19,0,"65-74 Years",0.1,2.22222222222222
"79","California",2023-08-26,0,"65-74 Years",0.1,2.22222222222222
"80","California",2023-09-02,0,"65-74 Years",0,0
"81","California",2023-09-09,0,"65-74 Years",0,0
"82","California",2023-09-16,0.3,"65-74 Years",0.1,2.22222222222222
"83","California",2023-09-23,0,"65-74 Years",0.1,2.22222222222222
"84","California",2023-09-30,0.3,"65-74 Years",0.2,4.44444444444444
"85","California",2023-07-01,0,"75+ Years",NA,NA
"86","California",2023-07-08,0.4,"75+ Years",NA,NA
"87","California",2023-07-15,0,"75+ Years",0.133333333333333,0.987654320987654
"88","California",2023-07-22,0,"75+ Years",0.133333333333333,0.987654320987654
"89","California",2023-07-29,0,"75+ Years",0,0
"90","California",2023-08-05,0.4,"75+ Years",0.133333333333333,0.987654320987654
"91","California",2023-08-12,0,"75+ Years",0.133333333333333,0.987654320987654
"92","California",2023-08-19,0,"75+ Years",0.133333333333333,0.987654320987654
"93","California",2023-08-26,0,"75+ Years",0,0
"94","California",2023-09-02,0,"75+ Years",0,0
"95","California",2023-09-09,0.8,"75+ Years",0.266666666666667,1.97530864197531
"96","California",2023-09-16,0.4,"75+ Years",0.4,2.96296296296296
"97","California",2023-09-23,0.8,"75+ Years",0.666666666666667,4.93827160493827
"98","California",2023-09-30,0,"75+ Years",0.4,2.96296296296296
"99","California",2023-10-07,25.3,"<1 Years",14.6666666666667,25.2293577981651
"100","California",2023-10-14,28.1,"<1 Years",21.3666666666667,36.7545871559633
"101","California",2023-10-21,45,"<1 Years",32.8,56.4220183486239
"102","California",2023-10-28,22.5,"<1 Years",31.8666666666667,54.8165137614679
"103","California",2023-11-04,47.8,"<1 Years",38.4333333333333,66.1123853211009
"104","California",2023-11-11,67.5,"<1 Years",45.9333333333333,79.0137614678899
"105","California",2023-11-18,50.6,"<1 Years",55.3,95.1261467889908
"106","California",2023-11-25,53.5,"<1 Years",57.2,98.394495412844
"107","California",2023-12-02,70.3,"<1 Years",58.1333333333333,100
"108","California",2023-12-09,47.8,"<1 Years",57.2,98.394495412844
"109","California",2023-12-16,22.5,"<1 Years",46.8666666666667,80.6192660550459
"110","California",2023-12-23,19.7,"<1 Years",30,51.605504587156
"111","California",2023-12-30,42.2,"<1 Years",28.1333333333333,48.394495412844
"112","California",2024-01-06,39.4,"<1 Years",33.7666666666667,58.0848623853211
"113","California",2024-01-13,16.9,"<1 Years",32.8333333333333,56.4793577981651
"114","California",2024-01-20,5.6,"<1 Years",20.6333333333333,35.493119266055
"115","California",2024-01-27,11.3,"<1 Years",11.2666666666667,19.3807339449541
"116","California",2024-02-03,11.3,"<1 Years",9.4,16.1697247706422
"117","California",2024-02-10,16.9,"<1 Years",13.1666666666667,22.6490825688073
"118","California",2024-02-17,11.3,"<1 Years",13.1666666666667,22.6490825688073
"119","California",2024-02-24,8.4,"<1 Years",12.2,20.9862385321101
"120","California",2024-03-02,8.4,"<1 Years",9.36666666666667,16.1123853211009
"121","California",2024-03-09,0,"<1 Years",5.6,9.63302752293578
"122","California",2024-03-16,0,"<1 Years",2.8,4.81651376146789
"123","California",2024-03-23,0,"<1 Years",0,0
"124","California",2024-03-30,0,"<1 Years",0,0
"125","California",2024-04-06,0,"<1 Years",0,0
